"id","createdAt","teamId","userUid"
66,"2023-08-26 19:56:29.439797",22,LBxed6E6VrhAKcK64yzjNc6JI4D2
67,"2023-08-26 19:56:29.442628",22,Z6eVpz2IVPhCCqG73Y15L9xruuJ2
68,"2023-08-26 19:56:29.446736",22,ziyHEN4QsET9zZLizJSz66skLLA2
69,"2023-08-26 21:22:26.117642",23,DlBesFMIvzRSyfdkDejfR1U0eUi1
70,"2023-08-26 21:22:26.119726",23,E9QKIMxxjrcweBuvE5HLEHtdFwT2
71,"2023-08-26 21:22:26.121407",23,Pc56gf6ho1a2Ph2r2nRCssuPYjt2
72,"2023-08-26 21:22:26.123098",23,pqSTM5F9pOUJi5u7zIa2TW1quJT2
73,"2023-08-26 21:22:26.124496",23,rEx4zHPYQmgMqwU8bFWV1AqDoLs2
74,"2023-08-26 21:22:26.125996",23,SCz3il9738S9PP0DIPSDwCF45n12
75,"2023-08-26 21:22:26.127493",23,V2xXvUzNk1NAYJgqeR2PQ5JfHN03
76,"2023-08-26 21:22:26.129122",23,wRCPAy7p4daemZ5goBIRDVPMe7O2
77,"2023-08-26 21:43:16.642805",24,nCvIUKfWaAZhLDvkELzoWETGd4x1
78,"2023-08-26 21:43:16.646196",24,QDAomICgbrQq6KtaNStrBBXbsPj2
79,"2023-08-26 21:43:16.648177",24,SupTZEve7hNH21KtE9SrYyS5kQp2
80,"2023-08-26 21:43:46.055637",25,IQfqGqjiOkYKcNgw8D3BVJ4VHn22
81,"2023-08-26 21:43:46.057645",25,r9MP3Xa1ySbqOEC6ZFWTFjrrgr63
82,"2023-08-26 21:43:46.059630",25,TpAqmuZihaOLiqS6YmolyBTEszf1
83,"2023-08-26 21:44:05.680746",26,s7DZtQj1TLUM967LMtXMgILONzV2
84,"2023-08-26 21:44:05.683617",26,Y0hrgA8Lhbh5DJtqH27CvQrouEL2
85,"2023-08-26 21:44:05.686310",26,zEHXMZ3wHccRHbxUszp4BDKSMkF2
86,"2023-08-26 21:45:06.363518",27,KwderRhHkGR8VkyiEMGsSrwlX7C2
87,"2023-08-26 21:45:06.365735",27,oFTEu6I5mNQpGi7NaUOpZf4jZoW2
